Name,Category,Stakers,Voting,BuildAndearn,TotalStaked
ACryptoS,defi,12,118098.000,10900.000,128998
"Age Of Chronos",others,201,14529588.847,786052.739,15315641.586
AirLyft.One,unstoppable-grants,173,8656764.467,75293.000,8732057.467
Algem,defi,511,169149436.394,2082841.857,171232278.251
Archisinal,nft,8,68427.299,5000.000,73427.299
ArtZero,nft,15,66780.000,600.000,67380
ArthSwap,defi,832,29014155.243,1352729.241,30366884.484
"Astar Blockchain Node Service",utility,49,2421930.000,33015.430,2454945.43
"Astar Core Contributors",tooling,2828,333977370.074,82306006.832,416283376.906
"Astar Degens",nft,1033,80432489.437,1292097.611,81724587.048
"Astar Dex StarSwap",defi,134,2460419.809,169542.855,2629962.664
"Astar Exchange",defi,877,8926141.160,2977305.399,11903446.559
"Astar Farm",defi,181,26966787.941,72822.000,27039609.941
"Astar Safe",tooling,75,5176580.983,344442.727,5521023.71
"Astar Sign Witch",nft,159,1737894.987,18979.000,1756873.987
"Astar Web3 Domains",utility,107,1672253.004,441478.000,2113731.004
AstarCats,nft,96,639541.701,78627.971,718169.672
AstridDAO,defi,282,58512826.236,194244.000,58707070.236
Avault,defi,39,311171.344,13767.900,324939.244
"Bluez NFT Marketplace",nft,76,11650891.280,632790.507,12283681.787
"Bware Labs and Blast API",utility,28,464920.896,60075.369,524996.265
"CANDY GIRL",nft,90,7672974.902,40435.775,7713410.677
COSMIZE,others,71,1668418.134,3500.000,1671918.134
"Ceres Liquidity and Token Lockers",defi,28,267504.441,10000.000,277504.441
ChainChaser,tooling,5,0.000,316693.000,316693
"Community Treasury",utility,689,100894873.438,28980847.790,129875721.228
DappRadar,tooling,11,0.000,73200.114,73200.114
DeForm,tooling,10,0.000,1613543.749,1613543.749
DeStore,nft,851,88335466.669,3078825.120,91414291.789
Dwellir,utility,66,804207.000,27963.500,832170.5
FiDi,utility,152,1971631.247,238288.100,2209919.347
Grabber,tooling,12,49906.000,905.000,50811
HEALTHREE,nft,297,13233227.194,3581479.189,16814706.383
"Heroic Animals",nft,33,167898.463,11340.000,179238.463
"I am xAlice",nft,70,1616432.912,53216.603,1669649.515
InsureDAO,tooling,45,228263.000,26233.000,254496
JPYC,defi,262,9448575.550,433784.058,9882359.608
KEKKAI,tooling,126,1599136.405,7332.700,1606469.105
KIRIFUDA,nft,22,317906.364,31184.000,349090.364
Lucky,others,354,15038373.417,411942.825,15450316.242
Metadomo,unstoppable-grants,47,2779524.000,0.000,2779524
Metasky,tooling,15,1531584.665,31719.000,1563303.665
MoonFit,nft,106,3438730.862,683939.764,4122670.626
NEET,others,11,0.000,29035.000,29035
"NFT Pocket | LOYLE",tooling,11,116303.891,2560.000,118863.891
"Neurolanche X Labs",others,2738,270781464.714,20961458.405,291742923.119
"Nova Wallet",others,452,17703969.970,606.754,17704576.724
OnFinality,utility,190,51578574.258,659160.063,52237734.321
Paras,nft,79,2201927.742,53705.996,2255633.738
Polkaholic.io,utility,24,354754.000,11230.000,365984
"Polkasafe Multisig",utility,26,18745371.000,8000.000,18753371
"Prometheus - AI Dex by Balance AI",defi,108,1344562.024,27477.000,1372039.024
ProofX,nft,25,160938.000,23617.000,184555
Protofire,tooling,9,440268.155,50500.000,490768.155
RAIR,nft,5,8701.000,0.000,8701
Rarible,nft,13,0.000,226132.000,226132
Sentio,utility,17,298630.000,2.000,298632
"SiO2 Finance",defi,203,52891187.395,776406.864,53667594.259
Singular,nft,591,7612991.821,1104563.397,8717555.218
"SkyLab Corporation",unstoppable-grants,131,17857546.130,203675.534,18061221.664
"Slash Vision Labs",defi,45,401281.912,11640.000,412921.912
"Starlay Finance",defi,260,14434776.951,768012.285,15202789.236
SushiTop,nft,56,587874.298,21269.000,609143.298
"Talisman 🪬",utility,600,28069752.399,1702093.494,29771845.893
"The Royal Raffle",nft,75,1548282.776,23276.014,1571558.79
"VeryLongSwap (Staking airdrop)",defi,128,0.000,2106758.551,2106758.551
Web3alert,tooling,35,2994157.282,1135.000,2995292.282
"XY Finance",defi,84,1133021.120,38423.000,1171444.12
Zenlink,defi,187,3483886.155,944599.102,4428485.257
"apeXchimpz (AXC)",nft,436,7588901.599,2310189.552,9899091.151
beyondClub,nft,63,713153.127,18058.000,731211.127
mooon,nft,70,3563925.025,37.000,3563962.025
tofuNFT,nft,181,7235848.509,139661.834,7375510.343
