Name,Category,Stakers,Voting,BuildAndearn,TotalStaked
ACryptoS,defi,13,118098.000,7000.000,125098
"Age Of Chronos",others,203,14460435.173,20446.965,14480882.138
AirLyft.One,unstoppable-grants,184,8656764.467,960055.558,9616820.025
Algem,defi,559,169149436.394,2015883.461,171165319.855
Archisinal,nft,8,68427.299,5197.000,73624.299
ArtZero,nft,17,66780.000,6490.000,73270
ArthSwap,defi,871,29014155.243,535731.985,29549887.228
"Astar Blockchain Node Service",utility,62,2421930.000,98091.430,2520021.43
"Astar Core Contributors",tooling,3115,333977370.074,90847439.275,424824809.349
"Astar Degens",nft,1070,80432489.437,2490905.433,82923394.87
"Astar Dex StarSwap",defi,141,2460419.809,37248.067,2497667.876
"Astar Exchange",defi,940,8926141.160,1948622.092,10874763.252
"Astar Farm",defi,189,25828205.841,172418.000,26000623.841
"Astar Safe",tooling,80,5176580.983,745739.651,5922320.634
"Astar Sign Witch",nft,161,1737894.987,34929.277,1772824.264
"Astar Web3 Domains",utility,112,1596349.890,4076.000,1600425.89
AstarCats,nft,99,639541.701,62399.630,701941.331
AstridDAO,defi,280,58512826.236,126828.017,58639654.253
Avault,defi,41,311171.344,30273.900,341445.244
"Bandit Network - The Growth Tookit for Web3",utility,2,0.000,12297.263,12297.263
"Bluez NFT Marketplace",nft,76,11650891.280,12718449.141,24369340.421
"Bware Labs and Blast API",utility,29,464920.896,64215.369,529136.265
"CANDY GIRL",nft,94,7672974.902,52892.587,7725867.489
COSMIZE,others,71,1172418.134,0.000,1172418.134
"Ceres Liquidity and Token Lockers",defi,26,226634.441,760.000,227394.441
ChainChaser,tooling,7,0.000,325500.000,325500
"Community Treasury",utility,717,100894873.438,28923764.404,129818637.842
DappRadar,tooling,15,0.000,99163.114,99163.114
DeForm,tooling,11,0.000,1623773.749,1623773.749
DeStore,nft,905,88335466.669,4128533.792,92464000.461
Dwellir,utility,71,804207.000,56192.500,860399.5
FiDi,utility,159,1971631.247,248212.075,2219843.322
Grabber,tooling,11,49906.000,0.000,49906
HEALTHREE,nft,313,13233227.194,4094608.994,17327836.188
"Heroic Animals",nft,34,167898.463,22837.000,190735.463
"I am xAlice",nft,71,1616432.912,45816.603,1662249.515
InsureDAO,tooling,47,204697.000,500.000,205197
JPYC,defi,282,9448575.550,460064.198,9908639.748
KEKKAI,tooling,129,1599136.405,40021.700,1639158.105
KIRIFUDA,nft,24,317906.364,35883.000,353789.364
L2X.pro,defi,5,0.000,44431.000,44431
Lucky,others,367,15038373.417,433053.868,15471427.285
Metadomo,unstoppable-grants,46,2429629.000,0.000,2429629
Metasky,tooling,15,1531584.665,32878.000,1564462.665
MoonFit,nft,107,3438730.862,717550.738,4156281.6
NEET,others,21,0.000,83090.000,83090
"NFT Pocket | LOYLE",tooling,11,116303.891,2560.000,118863.891
"Neurolanche X Labs",others,2952,270781464.714,22960731.781,293742196.495
"Nova Wallet",others,478,17703969.970,255264.178,17959234.148
OnFinality,utility,198,51578574.258,1747559.102,53326133.36
Paras,nft,76,2201927.742,65994.260,2267922.002
Polkaholic.io,utility,25,354754.000,12096.000,366850
"Polkasafe Multisig",utility,26,18555801.000,1200.000,18557001
"Prometheus - AI Dex by Balance AI",defi,111,1344562.024,141991.000,1486553.024
ProofX,nft,25,160938.000,25117.000,186055
Protofire,tooling,9,440268.155,50500.000,490768.155
RAIR,nft,6,8701.000,4150.000,12851
Rarible,nft,18,0.000,513705.000,513705
Sentio,utility,17,298630.000,2.000,298632
"SiO2 Finance",defi,209,52891187.395,749574.415,53640761.81
Singular,nft,625,7612991.821,1131781.387,8744773.208
"SkyLab Corporation",unstoppable-grants,130,17857546.130,205585.815,18063131.945
"Slash Vision Labs",defi,44,376868.912,0.000,376868.912
"Starlay Finance",defi,264,14434776.951,798394.252,15233171.203
SushiTop,nft,57,587874.298,25754.000,613628.298
"Talisman 🪬",utility,693,28069752.399,4763060.650,32832813.049
"The Royal Raffle",nft,74,1548282.776,23654.895,1571937.671
"VeryLongSwap (Staking airdrop)",defi,150,0.000,2250421.103,2250421.103
Web3alert,tooling,32,1989592.282,0.000,1989592.282
"XY Finance",defi,85,1133021.120,41103.000,1174124.12
Zenlink,defi,189,3483886.155,473590.659,3957476.814
"apeXchimpz (AXC)",nft,435,7588901.599,1715152.114,9304053.713
beyondClub,nft,64,713153.127,22445.000,735598.127
mooon,nft,78,3563925.025,44543.000,3608468.025
tofuNFT,nft,190,7235848.509,172629.834,7408478.343
