Name,Category,TotalStaked,Stakers,Mean,Median,STDDEV,Tier,Rank,Reward
3ridge,utility,3017663.466,5,603532.6932,5157.489,1198238.06456808,Tier 4,0,159
(Delisted)ACryptoS,defi,60155,3,20051.6666666667,5435.000,24082.1484137571,No Tier,None,0
(Delisted)Age Of Chronos,nft,0,0,0,0,0,No Tier,None,0
AirLyft.One,utility,33050703.712,161,205283.873987578,3000.000,1482459.1146214,Tier 3,2,2455
Algem,defi,24901545.893,329,75688.5893404255,5000.000,663350.285365023,Tier 3,0,2047
ApeXChimpz,nft,2589769.591,147,17617.4802108844,3500.000,43241.2969579437,Tier 4,0,159
Archisinal,nft,86608.352,7,12372.6217142857,1001.003,18569.7638234851,No Tier,None,0
ArtZero,nft,1000,1,1000,1000.000,0,No Tier,None,0
ArthSwap,defi,35739620.545,657,54398.2047869102,5000.000,405559.264430924,Tier 3,2,2455
Astar Blockchain Node Service,utility,1458560.668,83,17573.0200963855,4036.314,41422.7411017607,No Tier,None,0
Astar Core Contributors,tooling,508727409.717999,2409,211177.837159817,10825.401,2440776.19909035,Tier 1,0,11464
Astar Degens,nft,51233679.116,619,82768.4638384492,7230.000,450195.415190335,Tier 3,5,3067
Astar Dex StarSwap,defi,2879639.736,47,61268.9305531915,4750.000,226237.308478746,Tier 4,0,159
(Delisted)Astar Exchange,defi,0,0,0,0,0,No Tier,None,0
Astar Farm,defi,22457250.233,100,224572.50233,4122.704,1451496.25957084,Tier 3,0,2047
Astar Safe,tooling,3856090.279,64,60251.410609375,5039.0935,371186.356585024,Tier 4,1,174
Astar Sign Witch,nft,499648.271,48,10409.3389791667,3850.7115,26905.9068016421,No Tier,None,0
Astar Web3 Domains,utility,164856.237,26,6340.6245,2564.6425,9019.67399760074,No Tier,None,0
AstarCats,nft,126230.687,19,6643.72036842105,4400.000,8154.68437584523,No Tier,None,0
AstridDAO,defi,8705376.072,27,322421.336,5000.000,1570544.37539977,Tier 4,3,204
(Delisted)Avault,defi,187521.035,20,9376.05175,5084.3675,11212.496263278,No Tier,None,0
Bandit Network - The Growth Tookit for Web3,utility,781761.154,30,26058.7051333333,2244.142,111267.744098667,No Tier,None,0
(Delisted)Bluez NFT Marketplace,nft,12688.304,2,6344.152,6344.152,5655.848,No Tier,None,0
Bware Labs and Blast API,utility,274202.796,4,68550.699,49982.5445,67306.9837364028,No Tier,None,0
C14 Finance,defi,89738.35,26,3451.475,2000,3538.02968896366,No Tier,None,0
CANDY GIRL,nft,1572443.532,23,68367.1100869565,3000.000,288921.188392699,No Tier,None,0
COSMIZE,others,19668.723,7,2809.81757142857,1000.000,4386.89949081486,No Tier,None,0
(Delisted)Ceres Liquidity and Token Lockers,defi,6155,2,3077.5,3077.5,2357.5,No Tier,None,0
ChainChaser,tooling,827422.481,30,27580.7493666667,4557.321,91566.8140534159,No Tier,None,0
Community Treasury,utility,209351973.526,349,599862.388326648,5766.000,6217164.25935782,Tier 2,5,8506
D8A,tooling,14653.161,7,2093.30871428571,1002.316,1940.33649624629,No Tier,None,0
DappRadar,tooling,168027.825,13,12925.2173076923,4850.000,20168.8728865478,No Tier,None,0
DeForm,tooling,1948512.26,15,129900.817333333,37133.190,260545.121023704,Tier 4,0,159
DeStore,nft,10044257.844,215,46717.478344186,9450.000,144249.565754383,Tier 4,4,219
Dwellir,utility,362684.788,11,32971.3443636364,3124.267,81887.3532768133,No Tier,None,0
D’CENT Wallet,utility,763320.45,19,40174.7605263158,4800.000,98618.2066455402,No Tier,None,0
FiDi,utility,416617.863,13,32047.5279230769,4000.000,58335.8193264997,No Tier,None,0
GameDAO,utility,77024065.159,157,490599.141140127,3400.000,5118303.77536809,Tier 3,9,3883
Grabber,tooling,5290.592,4,1322.648,1370,701.360962361393,No Tier,None,0
HAHA Coin,others,3417457.435,160,21359.10896875,2534.191,66958.8586019077,Tier 4,0,159
HEALTHREE,nft,26397831.068,364,72521.5139230769,11355.034,222924.748029483,Tier 3,0,2047
Heroic Animals,nft,18105.873,4,4526.46825,3400,3846.40298782826,No Tier,None,0
(Delisted)I am xAlice,nft,320966.054,14,22926.1467142857,2095.0395,48322.9914453047,No Tier,None,0
InsureDAO,tooling,29232.254,14,2088.01814285714,1376.928,1538.49119730844,No Tier,None,0
JPYC,defi,6210819.72,164,37870.8519512195,5212.441,88096.4832286867,Tier 4,2,189
KEKKAI,tooling,628931.586,50,12578.63172,4250,30052.2044316161,No Tier,None,0
KIRIFUDA,nft,38593.474,5,7718.6948,4808.825,9771.34195933358,No Tier,None,0
Kaiso Finance,others,17908.106,4,4477.0265,1204.053,6102.31972476814,No Tier,None,0
L2X.pro,defi,13655,5,2731,2000.000,2098.37174971453,No Tier,None,0
Lotto,unstoppable-grants,19799346.963,68,291166.867102941,3000,2044578.75247656,Tier 4,9,294
Lucky,others,7150815.464,157,45546.5953121019,5147.753,154178.502088355,Tier 4,2,189
Metadomo,utility,404284.309,28,14438.7253214286,3031.752,37552.2117127202,No Tier,None,0
Metasky,tooling,5637.969,4,1409.49225,1000,1021.38890598204,No Tier,None,0
MoonFit,nft,57788.605,10,5778.8605,4115.3885,5550.89795696697,No Tier,None,0
NEET,unstoppable-grants,28697104.618,44,652206.923136364,2502.9695,2783948.29024749,Tier 3,1,2251
NFT Pocket | LOYLE,tooling,16000,2,8000,8000,5000,No Tier,None,0
NFTs2Me,nft,5060.057,2,2530.0285,2530.0285,507.6165,No Tier,None,0
Neemo Finance,defi,100306806.564,761,131809.20704862,5000.000,1999268.66615706,Tier 2,0,5671
Neurolanche X Labs,others,193488101.488,1843,104985.405039609,12828.653,599702.296994531,Tier 2,4,7939
Nova Wallet,others,55556772.79,227,244743.49246696,5027.979,2609816.17654554,Tier 3,5,3067
OnFinality,utility,5911787.99,67,88235.6416417911,4500.000,412073.552655116,Tier 4,2,189
PINKY,nft,551192.785,111,4965.70076576577,542.000,15956.5087118127,No Tier,None,0
(Delisted)Paras,nft,304405.236,24,12683.5515,2669.074,17779.760189695,No Tier,None,0
Polkaholic.io,utility,277705.809,7,39672.2584285714,18469.038,56463.1857872713,No Tier,None,0
Polkasafe Multisig,utility,245191.014,5,49038.2028,15000.000,62155.354430226,No Tier,None,0
Prometheus - AI Dex by Balance AI,defi,1395959.646,66,21150.9037272727,2571.697,66204.7919484814,No Tier,None,0
ProofX,nft,188165.987,9,20907.3318888889,3000.000,48233.7530571575,No Tier,None,0
Protofire,tooling,7831.07,5,1566.214,2000.000,580.467248980337,No Tier,None,0
QuickSwap,defi,21185128.455,679,31200.4837334315,4000.000,312695.591803391,Tier 3,0,2047
RAIR,nft,12000,2,6000,6000,4000,No Tier,None,0
Rarible,nft,36447.419,10,3644.7419,2258.0625,3060.67877642282,No Tier,None,0
Sentio,utility,405876.933,16,25367.3083125,3830.406,45287.6026371692,No Tier,None,0
SiO2 Finance,defi,1697318.24,84,20206.1695238095,5000,46314.4199117632,Tier 4,0,159
Singular,nft,1724614.017,103,16743.825407767,5512.358,35123.1096416396,Tier 4,0,159
(Delisted)SkyLab Corporation,others,23344723.286,91,256535.420725275,5000.000,2085415.80505135,Tier 3,0,2047
Slash Vision Labs,defi,478374.78,18,26576.3766666667,2019.2335,70767.3985361138,No Tier,None,0
Sonova,nft,4073463.222,57,71464.2670526316,5152.651,392573.405772138,Tier 4,1,174
Starlay Finance,defi,179351.822,29,6184.5455862069,2300.000,7056.07594848672,No Tier,None,0
SushiTop,nft,128514.59,13,9885.73769230769,2000.000,19475.7195820283,No Tier,None,0
Talisman🪬,utility,23437742.007,664,35297.8042274096,4101.588,162377.653326231,Tier 3,0,2047
The Royal Raffle,nft,113316.318,16,7082.269875,2913.7775,11142.339436166,No Tier,None,0
(Delisted)VeryLongSwap (Staking airdrop),defi,21695123.809,330,65742.7994212121,6370.5015,246975.3927305,Tier 3,0,2047
Web3alert,tooling,61793.419,10,6179.3419,2274.2875,7250.84071179313,No Tier,None,0
XO - Web3 Social,others,20084.192,8,2510.524,2000,1719.50015485278,No Tier,None,0
XY Finance,defi,63254.198,18,3514.12211111111,2315.6815,4217.98833015932,No Tier,None,0
Zenlink,defi,19877870.19,119,167040.925966387,3500.000,1151778.55410778,Tier 4,9,294
beyondClub,nft,763935.999,14,54566.8570714286,4900,152035.053444827,No Tier,None,0
keyvault,utility,263912.547,20,13195.62735,4250,18611.6731036175,No Tier,None,0
mooon,nft,475913.592,16,29744.5995,2750,90460.3531862836,No Tier,None,0
tofuNFT,nft,341939.66,27,12664.4318518519,3073.726,22454.5228355501,No Tier,None,0
