Name,Category,Stakers,VotingStaked
ACryptoS,defi,2,5000.000
AirLyft.One,utility,18,735832.000
Algem,defi,87,155498421.030
"ApeXChimpz",nft,53,616193.739
Archisinal,nft,4,80750.000
ArtZero,nft,0,66780.000
ArthSwap,defi,48,2741085.214
"Astar Blockchain Node Service",utility,15,275733.118
"Astar Core Contributors",tooling,369,36461057.660
"Astar Degens",nft,178,38486900.837
"Astar Dex StarSwap",defi,12,663380.000
"Astar Exchange",defi,110,3873967.427
"Astar Farm",defi,19,895410.233
"Astar Safe",tooling,14,5526841.000
"Astar Sign Witch",nft,15,123617.000
"Astar Web3 Domains",utility,3,1000.000
AstarCats,nft,3,10500.000
AstridDAO,defi,14,373111.344
Avault,defi,2,5501.000
"Bandit Network - The Growth Tookit for Web3",utility,8,3389598.095
"Bluez NFT Marketplace",nft,0,11650891.280
"Bware Labs and Blast API",utility,2,300501.000
"CANDY GIRL",nft,8,131831.000
COSMIZE,others,4,1500.000
"Ceres Liquidity and Token Lockers",defi,1,2500.000
ChainChaser,tooling,6,82008.514
"Community Treasury",utility,61,22744535.981
D8A,tooling,10,178506.000
DappRadar,tooling,2,800.000
DeForm,tooling,2,501.000
DeStore,nft,112,9538203.477
Dwellir,utility,5,144110.000
"D’CENT Wallet",utility,10,604956.807
FiDi,utility,2,15930.000
Grabber,tooling,3,1001.000
"HAHA Coin",others,86,2179694.789
HEALTHREE,nft,340,71376073.054
"Heroic Animals",nft,3,15062.000
"I am xAlice",nft,9,17451.000
InsureDAO,tooling,5,14831.000
JPYC,defi,37,1935852.722
KEKKAI,tooling,8,114201.000
KIRIFUDA,nft,2,50000.000
"Kaiso Finance",utility,2,7000.000
L2X.pro,defi,7,187701.000
Lucky,others,72,2809077.904
Metadomo,unstoppable-grants,15,75530.174
Metasky,tooling,2,1251.000
MoonFit,nft,5,185644.000
NEET,others,7,10602.000
"NFT Pocket | LOYLE",tooling,0,0
NFTs2Me,nft,1,5000.000
"Neurolanche X Labs",others,778,98541108.978
"Nova Wallet",others,37,798318.000
OnFinality,utility,24,1160808.357
PINKY,nft,5,26501.000
Paras,nft,23,556834.453
Polkaholic.io,utility,2,300000.000
"Polkasafe Multisig",utility,3,10501.000
"Prometheus - AI Dex by Balance AI",defi,4,90638.000
ProofX,nft,1,80000.000
Protofire,tooling,2,1640.559
QuickSwap,defi,52,1263176.034
RAIR,nft,0,8701.000
Rarible,nft,5,9100.000
Sentio,utility,3,50501.000
"SiO2 Finance",defi,15,557199.000
Singular,nft,33,712052.419
"SkyLab Corporation",unstoppable-grants,27,328009.000
"Slash Vision Labs",defi,6,13209.765
"Starlay Finance",defi,9,196518.000
SushiTop,nft,4,13653.000
"Talisman 🪬",utility,71,2456821.596
"The Royal Raffle",nft,7,37585.000
"VeryLongSwap (Staking airdrop)",defi,273,14851220.238
Web3alert,tooling,4,55501.000
"XO - Web3 Social",others,4,9500.000
"XY Finance",defi,7,12502.000
Zenlink,defi,10,390588.687
beyondClub,nft,1,640.668
mooon,nft,15,448379.813
tofuNFT,nft,8,135300.000
