Name,Category,Stakers,VotingStaked
ACryptoS,defi,2,25000.000
AirLyft.One,utility,26,766098.000
Algem,defi,336,173797944.323
"ApeXChimpz",nft,101,2978591.167
Archisinal,nft,8,110750.000
ArtZero,nft,1,1000.000
ArthSwap,defi,153,7368800.238
"Astar Blockchain Node Service",utility,25,326253.118
"Astar Core Contributors",tooling,871,57132001.585
"Astar Degens DAO",nft,383,54349324.275
"Astar Dex StarSwap",defi,25,1107955.000
"Astar Exchange",defi,255,9485541.094
"Astar Farm",defi,51,13094384.233
"Astar Safe",tooling,39,6767993.361
"Astar Sign Witch",nft,27,174552.374
"Astar Web3 Domains",utility,7,51901.000
AstarCats,nft,9,32500.000
AstridDAO,defi,18,430170.344
Avault,defi,9,28610.000
"Bandit Network - The Growth Tookit for Web3",utility,22,3757899.882
"Bluez NFT Marketplace",nft,3,11000.000
"Bware Labs and Blast API",utility,6,321935.000
"CANDY GIRL",nft,18,387123.007
COSMIZE,others,7,5500.000
"Ceres Liquidity and Token Lockers",defi,1,2500.000
ChainChaser,tooling,15,220618.514
"Community Treasury",utility,148,46047305.087
D8A,tooling,17,186006.000
DappRadar,tooling,9,127650.000
DeForm,tooling,10,1580035.000
DeStore,nft,197,11805612.909
Dwellir,utility,9,459660.000
"D’CENT Wallet",utility,15,1106499.807
FiDi,utility,7,24730.000
Grabber,tooling,6,9501.000
"HAHA Coin",others,145,3936974.466
HEALTHREE,nft,548,85886868.148
"Heroic Animals",nft,8,26172.000
"I am xAlice",nft,18,85441.807
InsureDAO,tooling,8,20331.000
JPYC,defi,91,3544219.674
KEKKAI,tooling,24,552297.000
KIRIFUDA,nft,2,50000.000
"Kaiso Finance",utility,4,13000.000
L2X.pro,defi,9,60909.417
Lucky,others,137,4772333.489
Metadomo,unstoppable-grants,33,410368.174
Metasky,tooling,2,1251.000
MoonFit,nft,11,291520.399
NEET,others,10,12604.000
"NFT Pocket | LOYLE",tooling,1,1000.000
NFTs2Me,nft,2,13000.000
"Neurolanche X Labs",others,1415,147921300.665
"Nova Wallet",others,97,2483952.000
OnFinality,utility,51,2142112.972
PINKY,nft,80,168982.612
Paras,nft,23,556834.453
Polkaholic.io,utility,5,403830.000
"Polkasafe Multisig",utility,3,15501.000
"Prometheus - AI Dex by Balance AI",defi,24,182054.000
ProofX,nft,2,130000.000
Protofire,tooling,4,3559.558
QuickSwap,defi,102,5262834.734
RAIR,nft,0,0
Rarible,nft,9,26100.000
Sentio,utility,3,50501.000
"SiO2 Finance",defi,30,680459.161
Singular,nft,115,3162617.928
"SkyLab Corporation",unstoppable-grants,48,533661.700
"Slash Vision Labs",defi,15,39710.765
"Starlay Finance",defi,25,593365.646
SushiTop,nft,7,15613.000
"Talisman 🪬",utility,189,9726771.673
"The Royal Raffle",nft,16,193356.000
VeryLongSwap,defi,487,25307383.752
Web3alert,tooling,10,110001.000
"XO - Web3 Social",others,7,143500.000
"XY Finance",defi,9,22702.000
Zenlink,defi,27,618826.487
beyondClub,nft,1,46360.000
mooon,nft,21,655822.813
tofuNFT,nft,19,706463.000
