dappId,stakeFuture-Voting
0,9834557.477
29,17862.000
24,2152403.965
67,135300.000
49,1000.000
78,187701.000
18,80000.000
3,828693.739
14,37621873.531
2,15930.000
39,117957.000
63,652379.813
56,10500.000
31,935410.233
58,556834.453
21,14831.000
25,8501.000
75,10602.000
12,2751417.214
87,178506.000
13,582299.000
4,4679796.311
8,161208.514
73,15516477.238
65,13209.765
59,15501.000
79,997047.807
32,50501.000
38,22000.000
11,47940607.837
64,394111.344
26,114201.000
28,331138.174
62,2500.000
68,5800.000
34,0
16,5528341.000
86,7000.000
71,1566701.000
55,0
52,22898509.981
47,1251.000
70,281243.118
51,71458055.424
36,68451.000
42,156328925.030
85,2642283.348
6,793552.419
74,1307626.034
69,50000.000
5,106600961.486
45,5500.000
22,6501.000
33,2619605.614
57,349509.000
41,0
30,1640.559
46,151644.000
43,120750.000
7,640.668
76,109500.000
48,25000.000
27,55501.000
53,763380.000
66,115601.000
40,196518.000
61,385000.000
9,144110.000
81,5000.000
60,300501.000
35,911818.000
50,12502.000
15,91638.000
77,3392663.095
54,13653.000
72,14100.000
17,3292354.904
10,423488.687
1,737332.000
84,126501.000
23,37585.000
20,1233479.972
